Id Fail Leverage CumulProfit Liquid OverDueDebt WorkCap OperProfit ShortDebt GuarDebt StateLag FiscalLag InFinan Links CapStruct
61 0 1 0.29411 0.07989 0 0.20545 0.18216 0.00047 0 208 124 0.12028 0 0.61634
62 0 1 -0.25155 0.03684 0 0.43697 0.06096 0.32238 0 288 261 0.02002 0 0.76103
63 0 0 0.22869 0.00325 1 0.28115 0.04905 0.04737 0 264 251 0.07944 0 0.7429
64 0 1 0.42302 0.23303 0 0.54321 0.25184 0.09952 0 185 136 0.20598 0 0.41098
65 0 1 0.08654 0.06999 0 0.2613 0.07532 0.08372 0.22263 101 67 0.114 0 0.87744
66 0 1 0.16467 0.00476 0 0.45145 0.05465 0 0 167 155 0.05747 0 0.28607
67 0 1 0.11043 0.22112 0 -0.00383 0.12648 0 0.2943 234 170 0.09072 0 0.73506
68 0 1 0.12591 0.09166 0 0.18008 0.05309 0.00846 0.08575 288 153 0.05973 0 0.6527
69 0 0 0.10148 0.04321 0 0.16675 0.03976 0 0.15524 176 148 0.03149 0 0.75701
70 0 0 0.07263 0.04743 0 0.61638 0.00277 0.59292 0 163 132 0.0328 0 0.32434
71 1 1 0.21166 0 0 -0.0659 0.05159 0.15819 0 239 186 0.22847 0 0.66357
72 0 0 0.02838 0.04956 0 0.17949 -0.03829 0.27606 0 218 173 -0.04268 0 0.9177
73 0 1 0.19873 0.00701 0 0.28886 0.05319 0 0.29896 211 159 0.0806 0 0.67534
74 0 0 0.04549 0.00684 0 0.15138 0.06466 0.13401 0 213 180 0.08385 0 0.66067
75 1 0 0.1077 0.03038 0 0.11372 0.16742 0.3341 0 155 153 0.16896 0 0.87459
76 0 0 0.11343 0.012 0 0.0218 0.05802 0.15995 0 204 163 -0.21679 0 0.84999
77 0 1 0.11786 0.0418 0 0.09467 0.04393 0 0.55518 179 156 0.02075 0 0.86014
78 0 1 0.15375 0.07287 0 0.11734 0.19564 0.0878 0.0344 168 155 0.22086 0 0.83323
79 0 1 0.07194 0.0714 0 0.50529 0.10919 0.39039 0 184 153 0.17947 0 0.79095
80 0 1 0.51462 0.14408 0 0.43635 0.33254 0 0 175 151 0.36931 0 0.43942
81 0 1 0.21937 0.07636 0 0.70439 0.20973 0.01941 0 186 156 0.22477 0 0.66075
82 0 0 0.08328 0.01284 0 -0.14142 -0.05985 0.12876 0.57793 256 227 -0.05636 0 0.858
83 0 0 0.14869 0.05639 0 0.17764 0.02012 0.01851 0.0363 192 152 0.03675 0 0.71421
84 0 1 0.43782 0.45158 0 0.01753 0.24186 0.03423 0.03423 214 172 0.1489 0 0.494
85 0 1 0.37343 0.2343 0 0.39632 0.07241 0.0454 0 220 103 0.02054 0 0.6019
86 0 1 0.3758 0.16634 0 0.14829 0.0407 0 0 164 136 0.05215 0 0.59531
87 0 1 0.32903 0.11657 0 -0.01582 0.42078 0.26223 0 109 92 0.14797 0 0.57289
88 0 1 0.35889 0.02096 0 0.42458 0.06431 0.08188 0 128 97 0.01816 0 0.58451
89 1 0 0.34254 0 1 0.59555 0.01519 0.39071 0 213 169 0.0505 0 0.59584
90 1 1 0.01795 0.00125 0 0.24414 0.04445 0 0 352 189 -0.01991 0 0.95835
91 0 0 0.162 0.00315 0 0.36415 0.064 0.06727 0.23707 254 218 0.08064 0.02608 0.79556
92 0 1 0.4562 0.17035 0 0.18935 0.18229 0 0 339 157 0.27527 0 0.51523
93 1 0 -0.00296 0.04848 1 0.07505 -0.10625 0.07249 0.52523 186 156 0.13988 0 0.8184
94 0 0 0.68259 0.28953 0 0.01771 -0.15394 0 0 218 167 -0.17793 0 0.2266
95 0 1 0.23792 0.03465 0 0.39966 0.0864 0.1633 0.20766 279 263 0.12969 0 0.46605
96 0 0 0.06665 0.00955 0 0.33114 0.04638 0.03219 0.76942 163 159 -0.42222 0 0.43877
97 0 0 -0.0083 0.00729 0 0.10899 0.02542 0.06979 0.22711 197 167 0.02677 0 0.99396
98 0 0 0.04707 0.01215 0 0.48078 0.05306 0.28381 0.68185 168 147 0.10023 0 0.87053
99 1 1 -0.21634 0.03016 1 0.1473 0.0738 0.18896 0.12866 293 182 0.091 0 0.98634
100 0 0 0.11791 0.00171 0 0.19603 0.16894 0.3698 0.60766 187 155 -0.28671 0 0.8668
101 0 0 -0.09329 0.04876 0 0.00113 0.0445 0 0.82616 158 132 0.10643 0 0.5529
102 0 0 0.15092 0.03681 0 0.24747 -0.00924 0.24421 0.31656 127 120 0.03504 0 0.71499
103 0 1 0.07652 0.00248 0 0.36765 0.03967 0.42934 0 178 153 0.05016 0 0.80367
104 1 0 0.09351 0.00101 0 0.61466 0.04697 0.50523 0 168 148 0.07564 0 0.75685
105 0 0 0.14052 0.04983 0 0.10704 -0.00464 0.56701 0 284 59 -0.4991 0 0.60534
106 0 0 -0.03347 0.0363 0 0.85478 0.00973 0.55651 0 184 151 0.06874 0 0.81166
107 0 1 0.50819 0.12609 0 0.44018 0.2388 0.03498 0 163 150 0.24505 0 0.47829
108 0 1 0.32439 0.0097 0 0.79991 0.22998 0.70263 0.83249 446 84 0.2832 0 0.59465
109 0 1 0.18332 0.00067 0 0.35893 0.04088 0.00074 0.61804 199 143 0.06659 0 0.69323
110 0 0 0.05777 0.11243 0 -0.11732 0.01743 0 0 175 153 -0.00578 0 0.8755
111 0 1 0.2223 0.0911 0 -0.36983 0.0174 0 0 191 162 -0.44451 0 0.7343
112 0 0 0.21065 0.00239 0 0.11854 0.01996 0.18929 0.44041 170 136 0.05777 0 0.76398
113 0 1 0.29222 0.17625 0 0.24953 0.13464 0.16235 0.35954 94 86 0.16569 0 0.59788
114 0 0 0.03319 0.02315 0 0.17993 0.02506 0.26759 0.3913 161 147 -0.06594 0 0.86119
115 1 0 0.10654 0.00663 0 0.26145 0.0218 0.29165 0 178 151 -0.14912 0 0.88283
116 0 1 0.20049 0.02141 0 0.35451 0.19577 0.17479 0 232 128 0.21197 0 0.72271
117 0 1 0.15943 0.05358 0 0.06135 0.08338 0 0.38787 186 159 -0.14947 0 0.80394
118 0 1 0.16285 0.00026 0 0.41198 0.06851 0.25621 0.09223 175 153 0.07151 0 0.80024
119 0 1 0.4398 0.2113 0 0.23369 0.0929 0 0.03795 163 147 0.16208 0 0.49627
120 0 1 0.21154 0.10186 1 0.27349 0.13825 0.03222 0 170 135 0.03654 0 0.68092
121 0 1 0.22699 0.07823 0 0.06717 0.0473 0 0.28754 245 143 -0.05358 0 0.71888
122 1 0 -0.03441 0.07466 0 0.15635 0.04858 0.42086 0.45599 372 129 0.10438 0.23797 0.94211
123 0 1 0.04701 0.12781 0 -0.14698 0.03919 0 0 291 272 -0.02399 0 0.9453
124 0 1 0.22039 0.06067 0 0.05709 0.10858 0.01086 0.4233 207 126 0.07897 0 0.71148
125 0 0 0.08761 0.03036 0 0.13593 0.03216 0.00428 0.43826 176 163 -0.28045 0 0.87059
126 0 1 0.27759 0.04077 0 0.19904 0.08875 0 0 158 130 0.01587 0 0.69817
127 0 1 0.26003 0.11905 0 0.30701 0.05144 0 0.11355 248 235 0.05654 0 0.68445
128 0 1 0.08907 0.06261 0 0.24067 0.08977 0 0.22163 176 147 0.08803 0 0.83589
129 0 1 0.24382 0.06628 0 0.29087 0.2 0.27492 0.48752 181 150 0.13932 0 0.70829
130 0 1 0.25767 0.05071 0 0.32867 0.09938 0.04051 0 386 154 -0.02823 0 0.67361
131 0 0 0.19269 0.06429 0 0.23247 0.03681 0.11805 0.21905 192 129 0.06992 0 0.6498
132 1 0 -0.03046 0.00213 0 0.08847 0.00426 0.11475 0 184 154 0.02571 0 0.95171
133 0 1 0.35476 0.05355 0 0.69394 0.20821 0.09075 0.25852 147 121 0.2065 0 0.52575
134 1 0 0.0052 0.03588 0 0.01992 -0.01546 0.12425 0 331 280 -0.05622 0 0.9316
135 0 1 0.49335 0.00429 0 0.59572 0.15389 0.39397 0 246 160 0.21453 0 0.41754
136 0 1 0.15499 0.2609 0 -0.08304 0.10619 0.07736 0 178 153 -0.09541 0 0.8014
137 0 1 0.20231 0.018 0 0.40595 0.04685 0.05706 0.34862 187 141 -0.00951 0 0.7271
138 0 1 0.08849 0.05932 0 0.0123 0.05049 0.01824 0 179 139 -0.3134 0 0.86989
139 0 1 0.44761 0.09968 0 0.15101 0.1096 0.01429 0 251 181 0.02704 0 0.51094
140 0 1 0.24276 0.09165 0 0.27674 0.19996 0 0.29833 277 265 0.24411 0 0.71114
141 0 1 0.40747 0.0659 0 0.62018 0.0684 0.02963 0 168 160 0.07867 0 0.34513
142 1 1 0.00411 0.00092 0 0.0798 0.0969 0 0 352 189 0.06786 0 0.96708
143 0 1 0.03201 0.23765 0 0.07577 0.03549 0.12412 0 266 124 0.00933 0 0.76469
144 1 0 0.04031 0.04312 0 0.65172 0.05036 0.63054 0 260 227 0.09951 0 0.93916
145 0 0 0.07935 0.00505 0 0.24886 0.06571 0.28794 0.49304 329 233 0.10543 0 0.83084
146 0 1 0.04605 0.3682 0 0.14515 0.18938 0.59723 0.14948 179 153 0.14159 0 0.92701
